size,munkers_with_backtracking_time,munkres_without_backtracking_time
5.0,0.0008530616760253906,7.319450378417969e-05
10.0,0.007264137268066406,0.0005071163177490234
15.0,0.018617868423461914,0.0021800994873046875
20.0,0.06072807312011719,0.00556182861328125
25.0,0.06074404716491699,0.005023956298828125
30.0,0.14561700820922852,0.010408163070678711
35.0,0.022159814834594727,0.013033866882324219
40.0,0.0242002010345459,0.015874624252319336
45.0,0.020911216735839844,0.01859903335571289
50.0,0.03552508354187012,0.025859832763671875
55.0,0.03297090530395508,0.02558302879333496
60.0,0.045876264572143555,0.03476405143737793
65.0,0.03461503982543945,0.038632869720458984
70.0,0.05398297309875488,0.05611896514892578
75.0,0.04682493209838867,0.049571990966796875
80.0,0.08486580848693848,0.07713103294372559
85.0,0.0709676742553711,0.08505105972290039
90.0,0.09609389305114746,0.09580707550048828
95.0,0.13263916969299316,0.12561416625976562
100.0,0.08357715606689453,0.09898591041564941
