size,munkers_with_backtracking_time,munkres_without_backtracking_time
5.0,0.0019328594207763672,0.00013518333435058594
10.0,0.03789329528808594,0.0005588531494140625
15.0,0.021759986877441406,0.002405881881713867
20.0,0.03154110908508301,0.0034508705139160156
25.0,0.06502604484558105,0.005661964416503906
30.0,0.09181094169616699,0.006551027297973633
35.0,0.021353960037231445,0.013242244720458984
40.0,0.017979860305786133,0.0117950439453125
45.0,0.0252988338470459,0.020351886749267578
50.0,0.030354976654052734,0.021227121353149414
55.0,0.04993295669555664,0.03825187683105469
60.0,0.0308990478515625,0.03215622901916504
65.0,0.050685882568359375,0.039910078048706055
70.0,0.05654621124267578,0.04801297187805176
75.0,0.07375693321228027,0.0628819465637207
80.0,0.07685017585754395,0.07556986808776855
85.0,0.08286499977111816,0.07647109031677246
90.0,0.09848499298095703,0.0803992748260498
95.0,0.1145021915435791,0.10001373291015625
100.0,0.0917201042175293,0.1005103588104248
150.0,0.2587859630584717,0.29544806480407715
200.0,0.4561018943786621,0.5611069202423096
250.0,0.7091250419616699,0.9860868453979492
300.0,0.9730710983276367,1.5987629890441895
350.0,1.8788180351257324,2.570614814758301
400.0,2.090380907058716,2.5485455989837646
450.0,2.6184499263763428,3.1811797618865967
500.0,3.369278907775879,3.974487066268921
