size,munkers_with_backtracking_time,fairxpy_many_to_many_matching_time,backtrack_total_cost,faipyx_total_cost
5.0,0.014883995056152344,0.0018849372863769531,244.0,244.0
10.0,0.08771467208862305,0.002755880355834961,173.0,173.0
15.0,0.037964820861816406,0.027458906173706055,304.0,308.0
20.0,0.07963299751281738,0.01067805290222168,325.0,327.0
25.0,0.08502793312072754,0.01628398895263672,310.0,313.0
30.0,0.1330399513244629,0.01914668083190918,229.0,234.0
35.0,0.1856992244720459,0.027145862579345703,119.0,119.0
40.0,0.2111191749572754,0.0487668514251709,302.0,304.0
45.0,0.22965788841247559,0.05847930908203125,502.0,508.0
50.0,0.2462000846862793,0.08078718185424805,375.0,378.0
60.0,0.32891011238098145,0.11561703681945801,462.0,466.0
70.0,1.0115931034088135,0.13987302780151367,204.0,204.0
80.0,0.5481059551239014,0.24197101593017578,462.0,465.0
90.0,1.806175947189331,0.26697659492492676,210.0,213.0
100.0,2.4942238330841064,0.3012211322784424,207.0,208.0
200.0,3.4472320079803467,2.0375208854675293,280.0,281.0
300.0,6.091197967529297,7.994838714599609,787.0,786.0
400.0,35.39778995513916,11.989498853683472,410.0,410.0
450.0,59.01138997077942,16.3392071723938,474.0,475.0
500.0,31.853698015213013,34.28815507888794,1018.0,1021.0
