size,munkers_with_backtracking_time,fairxpy_many_to_many_matching_time
5.0,0.6574728488922119,0.09179997444152832
10.0,0.3709571361541748,0.06500720977783203
15.0,0.3164210319519043,0.06751275062561035
20.0,0.2148590087890625,0.0799551010131836
25.0,0.22139382362365723,0.07936716079711914
30.0,0.16469812393188477,0.07764124870300293
35.0,0.24537897109985352,0.08415102958679199
40.0,0.44583964347839355,0.06397795677185059
45.0,0.4415302276611328,0.06622099876403809
50.0,0.36035990715026855,0.0637819766998291
55.0,0.2812230587005615,0.07892918586730957
60.0,0.3354911804199219,0.06282186508178711
65.0,0.3470010757446289,0.10846495628356934
70.0,0.5116438865661621,0.06668686866760254
75.0,0.2251298427581787,0.07789421081542969
80.0,0.21059298515319824,0.07759308815002441
85.0,0.3971550464630127,0.07316398620605469
90.0,0.23751401901245117,0.08139896392822266
95.0,0.2045278549194336,0.07609319686889648
100.0,0.40073227882385254,0.05767416954040527
150.0,0.41789674758911133,0.05842304229736328
200.0,0.22112202644348145,0.08005809783935547
250.0,0.41721200942993164,0.05947399139404297
300.0,0.3280630111694336,0.08164787292480469
350.0,0.233720064163208,0.0823819637298584
400.0,0.4326951503753662,0.08253598213195801
450.0,0.31726789474487305,0.06528067588806152
500.0,0.3209249973297119,0.08341193199157715
550.0,0.21708106994628906,0.07947492599487305
600.0,0.3418281078338623,0.06270480155944824
650.0,0.3883090019226074,0.06375598907470703
700.0,0.18943309783935547,0.07667994499206543
750.0,0.36084699630737305,0.06742286682128906
800.0,0.42491698265075684,0.06847119331359863
