size,munkers_with_backtracking_time,fairxpy_many_to_many_matching_time
5.0,0.44518399238586426,0.08611893653869629
10.0,0.3908860683441162,0.06270003318786621
15.0,0.319774866104126,0.08197498321533203
20.0,0.22750377655029297,0.07720804214477539
25.0,0.42141222953796387,0.06555438041687012
30.0,0.4413928985595703,0.06386303901672363
35.0,0.27803802490234375,0.08146834373474121
40.0,0.21833491325378418,0.08198189735412598
45.0,0.422313928604126,0.06273388862609863
50.0,0.3135559558868408,0.06412220001220703
55.0,0.23918581008911133,0.06890583038330078
60.0,0.20618605613708496,0.08080220222473145
65.0,0.3438279628753662,0.09803485870361328
70.0,0.3224220275878906,0.07998800277709961
75.0,0.4527568817138672,0.06769299507141113
80.0,0.27388691902160645,0.06604909896850586
85.0,0.1741349697113037,0.07552289962768555
90.0,0.2698028087615967,0.07692193984985352
95.0,0.2666807174682617,0.07845616340637207
100.0,0.32520294189453125,0.080078125
150.0,0.40099406242370605,0.060727834701538086
200.0,0.4277329444885254,0.06341099739074707
