size,munkers_with_backtracking_time,munkres_without_backtracking_time
5.0,0.001461029052734375,0.00015306472778320312
10.0,0.004234790802001953,0.0005502700805664062
15.0,0.008902788162231445,0.001233816146850586
20.0,0.017042160034179688,0.0026102066040039062
25.0,0.1108548641204834,0.007134914398193359
30.0,0.12490987777709961,0.010759115219116211
35.0,0.01901698112487793,0.012664079666137695
40.0,0.022260189056396484,0.013633012771606445
45.0,0.023539304733276367,0.018269062042236328
50.0,0.032250165939331055,0.024148941040039062
55.0,0.03760528564453125,0.02828693389892578
60.0,0.031333208084106445,0.020375967025756836
65.0,0.03768301010131836,0.040622711181640625
70.0,0.06790804862976074,0.04352998733520508
75.0,0.060581207275390625,0.05817604064941406
80.0,0.06696701049804688,0.06281018257141113
85.0,0.07026386260986328,0.06666111946105957
90.0,0.09172511100769043,0.10008502006530762
95.0,0.0990438461303711,0.08870291709899902
100.0,0.09861302375793457,0.11365985870361328
150.0,0.23509001731872559,0.26900362968444824
200.0,0.4614100456237793,0.696218729019165
250.0,0.861809253692627,0.9975631237030029
300.0,0.7930641174316406,1.5522098541259766
350.0,1.5347609519958496,1.970743179321289
400.0,2.250563144683838,2.9975321292877197
450.0,2.501237154006958,3.3048598766326904
500.0,3.9897379875183105,4.556661128997803
600.0,5.4228620529174805,6.193832874298096
700.0,7.701804161071777,8.960011005401611
800.0,9.642699956893921,11.189443111419678
