size,munkers_with_backtracking_time,munkres_without_backtracking_time,result_match
5,0.00039887428283691406,7.605552673339844e-05,True
10,0.01081705093383789,0.0017459392547607422,True
15,0.04322314262390137,0.005711793899536133,True
20,0.025578975677490234,0.00600886344909668,True
25,0.09986019134521484,0.005943775177001953,True
30,0.07811498641967773,0.005402803421020508,True
35,0.023679018020629883,0.016742944717407227,False
40,0.01914072036743164,0.014303207397460938,False
45,0.032765865325927734,0.02145695686340332,True
50,0.027385950088500977,0.02246689796447754,True
60,0.04974627494812012,0.0375518798828125,False
70,0.056166887283325195,0.047077178955078125,False
80,0.0773928165435791,0.07624697685241699,False
90,0.09914803504943848,0.09543991088867188,False
100,0.11682915687561035,0.12984991073608398,False
200,0.4816110134124756,0.5862290859222412,False
300,1.1891720294952393,1.7383670806884766,False
400,2.057372808456421,2.834106206893921,False
500,3.3746252059936523,4.374040126800537,False
600,4.559590101242065,5.702973127365112,False
700,7.580075979232788,9.125235795974731,False
800,10.21347188949585,11.717705011367798,False
