size,munkers_with_backtracking_time,munkres_without_backtracking_time
5.0,0.00037407875061035156,3.910064697265625e-05
10.0,0.005716085433959961,0.00047278404235839844
15.0,0.008735895156860352,0.001149892807006836
20.0,0.01789999008178711,0.0031218528747558594
25.0,0.06673288345336914,0.0056722164154052734
30.0,0.17264795303344727,0.007658958435058594
35.0,0.012465953826904297,0.010380983352661133
40.0,0.027230262756347656,0.01666712760925293
45.0,0.01783919334411621,0.013397932052612305
50.0,0.03817319869995117,0.025155067443847656
55.0,0.0325472354888916,0.03231096267700195
60.0,0.043981075286865234,0.033100128173828125
65.0,0.03404116630554199,0.032508134841918945
70.0,0.05189085006713867,0.044592857360839844
75.0,0.05256795883178711,0.05491018295288086
80.0,0.0746302604675293,0.06516790390014648
85.0,0.0759422779083252,0.07668304443359375
90.0,0.06643486022949219,0.07372903823852539
95.0,0.11995315551757812,0.09875679016113281
100.0,0.1252899169921875,0.09853005409240723
150.0,0.26012325286865234,0.32605791091918945
200.0,0.5862698554992676,0.6046609878540039
250.0,0.7403099536895752,0.9458708763122559
