size,munkers_with_backtracking_time,munkres_without_backtracking_time
5.0,0.001466989517211914,0.00013518333435058594
10.0,0.011533021926879883,0.0004570484161376953
15.0,0.012588977813720703,0.0015208721160888672
20.0,0.06748700141906738,0.007146120071411133
25.0,0.0822300910949707,0.0044498443603515625
30.0,0.09418296813964844,0.008213996887207031
35.0,0.023906707763671875,0.016670942306518555
40.0,0.025380849838256836,0.019718170166015625
45.0,0.02622509002685547,0.024533987045288086
50.0,0.02886486053466797,0.025738000869750977
55.0,0.037648677825927734,0.02378702163696289
60.0,0.042665958404541016,0.034316062927246094
65.0,0.04802703857421875,0.05160665512084961
70.0,0.043164968490600586,0.0514988899230957
75.0,0.051965951919555664,0.05447697639465332
80.0,0.07855892181396484,0.07528996467590332
85.0,0.10231494903564453,0.08697891235351562
90.0,0.06866693496704102,0.08318305015563965
95.0,0.09478497505187988,0.1105349063873291
100.0,0.112548828125,0.11963319778442383
150.0,0.2586808204650879,0.28960704803466797
200.0,0.44988203048706055,0.5600759983062744
250.0,0.714526891708374,0.9780652523040771
300.0,1.0520591735839844,1.6438629627227783
350.0,1.9496228694915771,2.4577081203460693
400.0,2.4487180709838867,2.8719537258148193
450.0,2.9404280185699463,3.7341949939727783
500.0,3.8086318969726562,4.448730707168579
