size,munkers_with_backtracking_time,munkres_without_backtracking_time
5.0,0.0018858909606933594,0.00013208389282226562
10.0,0.00629878044128418,0.0006260871887207031
15.0,0.014133930206298828,0.0016567707061767578
20.0,0.04182291030883789,0.003915071487426758
25.0,0.06544113159179688,0.005559206008911133
30.0,0.09143996238708496,0.008401155471801758
35.0,0.022667884826660156,0.01194906234741211
40.0,0.027653217315673828,0.014693975448608398
45.0,0.01851797103881836,0.015906095504760742
50.0,0.034906864166259766,0.024550199508666992
