size,munkers_with_backtracking_time,munkres_without_backtracking_time
5.0,0.0016138553619384766,0.00017309188842773438
10.0,0.002914905548095703,0.00038886070251464844
15.0,0.009857654571533203,0.0013349056243896484
20.0,0.020296096801757812,0.0018627643585205078
25.0,0.08150291442871094,0.007139921188354492
30.0,0.16435503959655762,0.010602951049804688
35.0,0.020985841751098633,0.013788223266601562
40.0,0.010493993759155273,0.012681961059570312
45.0,0.026304006576538086,0.01705002784729004
50.0,0.026075124740600586,0.02118706703186035
