size,munkers_with_backtracking_time,munkres_without_backtracking_time,result_match
5,0.0012631416320800781,0.00011897087097167969,True
10,0.014660835266113281,0.0005867481231689453,True
15,0.01891493797302246,0.007716178894042969,True
20,0.06720590591430664,0.0034792423248291016,True
